individual	study	env	host_genus	host_common	accession_id	total_raw_reads	total_post_clip_and_merge	mean_percent_merged_content_post_clip_and_merge	total_number_reads_mapped_prior_rmdup	total_post_duplicate_removal_reads	mean_percent_endogenous_dna	mean_cluster_factor	mean_median_fragment_length	mean_gc_content_percent	total_non_human_reads	age
DJA002	This_study	Gorilla_2	Gorilla	Gorilla	ERR3579714	145419258	51889467	98.7983333333333	96146	86671	0.185333333333333	1.105	38	47.6233333333333	51793321	ancient
EBO003	This_study	Gorilla_2	Gorilla	Gorilla	ERR3579723	163054200	57411964	96.8223333333333	81686	70822	0.142666666666667	1.14466666666667	61.3333333333333	47.8866666666667	57330278	ancient
ECO002	This_study	PreagriculturalHuman_2	Homo	Homo (Modern Human)	ERR3579729	107186852	37977768	93.991	131374	113943	0.345666666666667	1.147	75.3333333333333	43.7833333333333	37846394	ancient
ECO004	This_study	PreagriculturalHuman_2	Homo	Homo (Modern Human)	ERR3579732	134246266	56901161	79.5183333333333	3621389	3113104	6.37066666666667	1.15033333333333	74.6666666666667	44.15	53279772	ancient
EMN001	This_study	PreagriculturalHuman_2	Homo	Homo (Modern Human)	ERR3579737	208944200	99227533	88.6336666666667	65633	57205	0.066333333333333	1.14066666666667	73.6666666666667	45.4866666666667	99161900	ancient
FUM002	This_study	Neanderthal	Homo	Homo (Neanderthal)	ERR3579747	61703682	23327553	98.092	266953	230913	1.14666666666667	1.147	76	47.2	23060600	ancient
GOY005	This_study	Neanderthal	Homo	Homo (Neanderthal)	ERR3678727	443150763	332990717	0	6877083	5691311	2.065	1.208	66	45.67	326113634	ancient
KNP001	This_study	Chimp_2	Pan	Pan	ERR3579760; ERR3579759	302497552	153838340	83.255	2980802	2729772	1.8745	1.101	58	43.34	150857538	ancient
KNP004	This_study	Chimp_2	Pan	Pan	ERR3579764; ERR3579763	479828768	259190168	75.225	1933004	1728610	0.699	1.12	56	43.32	257257164	ancient
KNP005	This_study	Chimp_2	Pan	Pan	ERR3579766; ERR3579675	102180635	89832059	34.4025	584308	532724	0.583	1.1085	61	42.02	89247751	ancient
KNP009	This_study	Chimp_2	Pan	Pan	ERR3579771; ERR3579770	225114938	123835011	72.754	202915	188300	0.157	1.0865	59.5	42.51	123632096	ancient
LIB007.A0115	This_study	LibraryBlank	Control	LibraryBlank	ERR3839749	1985400	364172	28.819	103702	3614	28.476	28.695	62	93.35	260470	control
LIB007.A0116	This_study	LibraryBlank	Control	LibraryBlank	ERR3839750	1227864	251819	10.381	99504	2845	39.514	34.975	68	84.9	152315	control
LIB007.A0135.SG1.1	This_study	LibraryBlank	Control	LibraryBlank	ERR3839758	2830970	838216	12.129	355189	14725	42.374	24.121	74	53.34	483027	control
LIB025.A0301	This_study	LibraryBlank	Control	LibraryBlank	ERR3839765	1985302	737031	84.833	24280	19538	3.294	1.243	53	42.8	712751	control
LIB025.A1001	This_study	LibraryBlank	Control	LibraryBlank	ERR3839766	2785008	1377612	40.654	368292	21954	26.734	16.776	53	57.2	1009320	control
LIB025.A1301	This_study	LibraryBlank	Control	LibraryBlank	ERR3839767	1256380	545916	22.957	181248	13717	33.201	13.213	57	63.2	364668	control
MTM009	This_study	Gorilla_1	Gorilla	Gorilla	ERR3906046; ERR3579783	380139080	158755812	97.0545	1097659	961335	0.7955	1.238	42.75	46.755	157658153	ancient
OAK002	This_study	PreagriculturalHuman_1	Homo	Homo (Modern Human)	ERR3579786	219760056	72308980	97.493	133118	116183	0.184333333333333	1.14133333333333	36	43.4666666666667	72175862	ancient
OAK005	This_study	PreagriculturalHuman_1	Homo	Homo (Modern Human)	ERR3579790	65053436	26750722	92.913	17092	15385	0.064333333333333	1.10466666666667	34.6666666666667	51.2433333333333	26733630	ancient
OME002	This_study	Howler_Monkey	Alouatta	Alouatta	ERR3579793	145490044	72618497	80.357	509940	466994	0.702	1.092	46	42.67	72108557	ancient
OME003	This_study	Howler_Monkey	Alouatta	Alouatta	ERR3579795	166087194	91889828	69.112	292568	269989	0.318	1.084	46	42.46	91597260	ancient
OME005	This_study	Howler_Monkey	Alouatta	Alouatta	ERR3579797	296525468	167478549	67.22	442103	398948	0.264	1.108	48	42.99	167036446	ancient
PES001	This_study	Neanderthal	Homo	Homo (Neanderthal)	ERR3678187	99729056	50328545	79.9016666666667	224031	193799	0.443666666666667	1.148	76	45.52	50104514	ancient
TAF008	This_study	PreagriculturalHuman_1	Homo	Homo (Modern Human)	ERR3579810	128930050	52474486	94.1743333333333	113693	95678	0.217	1.17133333333333	66.3333333333333	44.9733333333333	52360793	ancient
