pairs	mean_SumsOfSqs	sd_SumsOfSqs	mean_F.Model	sd_F.Model	mean_R2	sd_R2	mean_p.value	sd_p.value	mean_p.adjusted	sd_p.adjusted	bootstraps
Control vs Gorilla	159565.88365822137	25519.194830710592	13.649694500818192	4.691156062090337	0.4198215060267931	0.0794704513810158	0.00108	5.25702992538217e-4	0.03024	0.014719683791070087	100
Control vs Gut	35733.63396134418	13739.04013141507	6.9251780273936	1.5702078901918373	0.275233089291497	0.04213963932467802	0.00101	1e-4	0.02828	0.0028	100
Control vs Homo	221592.71749786718	32167.131301726266	14.858412748660099	4.991327831194573	0.4404270970011563	0.07959493247504786	0.00103	1.714466079977652e-4	0.02884	0.004800505023937426	100
Control vs Pan	228948.10301865928	34499.855631357415	41.25608462645254	16.9045978905952	0.6735394942166629	0.08557917129934063	0.001	0	0.028	0	100
Control vs Plaque	286604.9972583833	28139.125760070983	19.277479332828605	5.050012763865972	0.5090475557992519	0.06126023964468831	0.001	0	0.028	0	100
Control vs Sediment	21165.514096523977	12278.094453369418	4.893548237723446	1.3871857069615408	0.2110345337894536	0.0455370315877306	0.00102	1.4070529413628976e-4	0.028560000000000002	0.003939748235816115	100
Control vs Skin	220543.17242060276	26716.367829959163	20.529157884703444	5.98356979769361	0.5225265070126148	0.0684949346742379	0.001	0	0.028	0	100
Gorilla vs Gut	269982.5172608721	23812.606357550474	25.712338721229333	6.475183661749282	0.5809680737972066	0.05075865704063914	0.001	0	0.028	0	100
Gorilla vs Homo	100973.22546429731	24615.40787487187	4.840663443756794	1.6947675873898083	0.20799760368674258	0.05397560574086937	0.00472	0.007688480166634188	0.12836	0.19731784951537892	100
Gorilla vs Pan	183336.28921164476	66295.32274774654	16.501708687148266	8.673230020452513	0.4508359445546172	0.1155300472764478	0.0011200000000000001	4.5571566538442343e-4	0.03136	0.012760038630763857	100
Gorilla vs Plaque	160158.1944643349	31350.961951524303	7.6537298244100835	1.71094271595781	0.29548724192593984	0.043613677560496306	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816116	100
Gorilla vs Sediment	236476.8102181534	23143.138200095007	25.137784311616407	7.298283898615235	0.5733031931065529	0.057928400575307036	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816116	100
Gorilla vs Skin	199863.33231353151	37353.856664987456	11.937840982995265	2.7974611054739484	0.3941439915515666	0.050505322163859175	0.00101	1e-4	0.02828	0.0027999999999999982	100
Gut vs Homo	355198.86165011744	36099.34480434245	25.82862835245636	6.292393554489146	0.5809469707034378	0.059786086931746106	0.00101	1e-4	0.02828	0.002799999999999999	100
Gut vs Pan	328772.6840902769	41327.399758354615	71.65459577090674	13.005996069012605	0.7952458618490872	0.028290354146296413	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999943	100
Gut vs Plaque	401167.00254293723	36422.58553249444	29.19971540445514	5.003631563406738	0.6147438950574137	0.0375842866198031	0.00101	1e-4	0.02828	0.002799999999999996	100
Gut vs Sediment	26367.290207997277	4198.9387373622285	9.953148293669964	1.8486106256667223	0.35334421299254576	0.041711789984693604	0.001	0	0.028	0	100
Gut vs Skin	299482.95052693546	30489.690491883408	30.939802805623646	5.0096008194581785	0.6288985164460914	0.032958082431455996	0.00103	1.71446607997765e-4	0.02884	0.004800505023937422	100
Homo vs Pan	173870.00385672136	51780.795576254866	11.498869063919086	3.347394823038763	0.38241662858402675	0.06649158005107017	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816114	100
Homo vs Plaque	163576.16816264513	44603.591111803886	6.7658836197125485	2.048312293622792	0.2684710066332913	0.057932255757955624	0.00106	2.3868325657594198e-4	0.02968	0.006683131184126379	100
Homo vs Sediment	314817.436166848	33899.50041164726	24.78867025659236	6.468336843319216	0.5698931509161532	0.06422953752097615	0.00103	1.7144660799776526e-4	0.02884	0.004800505023937428	100
Homo vs Skin	254262.42590172903	48007.193524210816	12.753399199047136	3.3423187949387594	0.4077817262163638	0.06481641587765724	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816116	100
Pan vs Plaque	410840.6481789857	60001.146821799426	27.664255255397016	3.887242776711103	0.6030246671497027	0.03337788299823832	0.00101	1.0000000000000003e-4	0.02828	0.002799999999999995	100
Pan vs Sediment	295230.63983336464	39286.91401307175	82.90755638227648	17.377241174922972	0.8168493661566948	0.028844516254772704	0.00102	1.407052941362897e-4	0.028560000000000002	0.003939748235816112	100
Pan vs Skin	461447.51896539755	61348.083426908444	43.3240475145105	7.39457408902008	0.702682245019811	0.032139981573906046	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816116	100
Plaque vs Sediment	357598.8858956117	35276.008283719566	28.15086418977867	5.150740258062303	0.605513375639786	0.04087070080174035	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999956	100
Plaque vs Skin	166232.15482471263	33816.90997337217	8.508012439858476	2.5971338987018804	0.3149414735802692	0.062538988444804	0.00107	2.9318866956210297e-4	0.02996	0.008209282747738885	100
Sediment vs Skin	280007.6257486714	30477.71930314521	32.41686302389052	6.006100830457655	0.6388329940767427	0.03570058909714469	0.001	0	0.028	0	100
